column_name,group_f_value,group_df,group_residual_df,group_p_value,group_p_adjusted,rsfmri_c_ngd_meanmotion_estimate,rsfmri_c_ngd_meanmotion_t_value,rsfmri_c_ngd_meanmotion_std_error,rsfmri_c_ngd_meanmotion_p_value,sex_f_value,sex_df,sex_residual_df,sex_p_value,eventname_f_value,eventname_df,eventname_residual_df,eventname_p_value
rsfmri_c_ngd_cgc_ngd_cgc,0.0906,1,2883.2172,0.7635,0.9626,-0.0481,-7.3929,0.0065,0,33.7806,1,2883.4899,0,4.302,1,2962.0451,0.0382
rsfmri_c_ngd_cgc_ngd_dt,2.404,1,2894.5261,0.1211,0.5743,0.0575,10.951,0.0053,0,64.5713,1,2847.0165,0,16.2128,1,2949.1303,0.0001
rsfmri_c_ngd_cgc_ngd_fo,0.0016,1,2904.5275,0.9681,0.991,0.0252,5.7706,0.0044,0,7.6466,1,2836.1236,0.0057,4.7521,1,2924.3415,0.0293
rsfmri_c_ngd_cgc_ngd_vta,8.1946,1,2897.1923,0.0042,0.1989,0.0207,3.9416,0.0053,0.0001,20.31,1,2851.5205,0,5.0662,1,2947.3828,0.0245
rsfmri_c_ngd_dla_ngd_cgc,0.8889,1,2906.7682,0.3459,0.8021,-0.0035,-0.7585,0.0046,0.4482,3.1738,1,2848.7227,0.0749,8.4072,1,2868.4358,0.0038
rsfmri_c_ngd_dla_ngd_dla,0.1177,1,2895.4338,0.7316,0.9626,-0.0486,-7.3704,0.0066,0,0.5556,1,2880.587,0.4561,0.0286,1,2929.5269,0.8657
rsfmri_c_ngd_dla_ngd_dt,0.4827,1,2888.8972,0.4873,0.8354,0.0532,10.4404,0.0051,0,31.9091,1,2856.1488,0,0.5619,1,2951.788,0.4535
rsfmri_c_ngd_dla_ngd_sa,1.2876,1,2903.4271,0.2566,0.6524,0.0144,2.454,0.0059,0.0142,25.6149,1,2844.7315,0,9.0915,1,2923.4108,0.0026
rsfmri_c_ngd_dla_ngd_vta,3.4677,1,2884.8065,0.0627,0.4793,0.0208,4.3281,0.0048,0,3.0317,1,2876.6491,0.0818,8.8908,1,2960.3592,0.0029
rsfmri_c_ngd_dt_ngd_dt,0.4652,1,2886.2238,0.4952,0.8354,-0.0524,-9.6523,0.0054,0,70.7954,1,2863.946,0,1.9322,1,2954.2605,0.1646
rsfmri_c_ngd_dt_ngd_fo,3.516,1,2896.2244,0.0609,0.4793,0.0161,3.7747,0.0043,0.0002,0.4676,1,2890.2748,0.4942,0.3536,1,2880.884,0.5522
rsfmri_c_ngd_dt_ngd_sa,0.0111,1,2900.5794,0.9162,0.991,0.007,1.172,0.006,0.2413,13.0779,1,2879.0002,0.0003,0.0007,1,2830.952,0.9783
rsfmri_c_ngd_dt_ngd_vta,0.0396,1,2890.5311,0.8422,0.9626,-0.0032,-0.6634,0.0048,0.5071,11.4312,1,2878.8392,0.0007,25.9307,1,2957.2182,0
rsfmri_c_ngd_fo_ngd_dt,3.516,1,2896.2244,0.0609,0.4793,0.0161,3.7747,0.0043,0.0002,0.4676,1,2890.2748,0.4942,0.3536,1,2880.884,0.5522
rsfmri_c_ngd_fo_ngd_fo,0.4412,1,2903.4629,0.5066,0.8354,-0.0409,-7.3244,0.0056,0,16.6448,1,2815.5331,0,7.0613,1,2929.325,0.0079
rsfmri_c_ngd_fo_ngd_sa,0.8743,1,2893.5616,0.3498,0.8021,-0.0177,-2.8952,0.0061,0.0038,23.2302,1,2872.4924,0,16.3324,1,2951.2887,0.0001
rsfmri_c_ngd_fo_ngd_vta,2.919,1,2893.2805,0.0877,0.5493,0.0105,2.5391,0.0041,0.0112,0.5492,1,2864.1258,0.4587,2.9267,1,2954.4867,0.0872
rsfmri_c_ngd_sa_ngd_cgc,2.4375,1,2909.7242,0.1186,0.5743,0.0165,2.5094,0.0066,0.0122,4.0329,1,2842.1322,0.0447,28.2734,1,2810.5515,0
rsfmri_c_ngd_sa_ngd_sa,0.031,1,2900.456,0.8602,0.9626,-0.0344,-2.9699,0.0116,0.003,0.8949,1,2831.7765,0.3442,6.725,1,2938.9707,0.0096
rsfmri_c_ngd_sa_ngd_vta,0.8034,1,2890.0315,0.3701,0.8092,0.0154,2.4594,0.0063,0.014,0.5238,1,2870.0103,0.4693,72.3069,1,2958.6729,0
rsfmri_c_ngd_vta_ngd_dt,0.0396,1,2890.5311,0.8422,0.9626,-0.0032,-0.6634,0.0048,0.5071,11.4312,1,2878.8392,0.0007,25.9307,1,2957.2182,0
rsfmri_c_ngd_vta_ngd_vta,3.9155,1,2883.1942,0.0479,0.4793,-0.0138,-2.4168,0.0057,0.0157,1.4499,1,2897.9416,0.2286,8.3658,1,2963.3715,0.0039
rsfmri_cor_ngd_cerc_scs_aalh,0.0453,1,2892.5322,0.8315,0.9626,0.0204,2.5736,0.0079,0.0101,0.0041,1,2868.0658,0.949,44.8281,1,2955.5323,0
rsfmri_cor_ngd_cerc_scs_aarh,0.6883,1,2907.1817,0.4068,0.8354,0.0028,0.298,0.0094,0.7657,0.8884,1,2826.5196,0.346,3.3634,1,2914.5605,0.0668
rsfmri_cor_ngd_cerc_scs_aglh,1.5229,1,2885.4746,0.2173,0.6513,0.0457,4.4623,0.0102,0,2.0508,1,2879.394,0.1522,47.8671,1,2961.7951,0
rsfmri_cor_ngd_cerc_scs_agrh,0.5514,1,2885.2943,0.4578,0.8354,0.0043,0.3905,0.0109,0.6962,0.0027,1,2891.5876,0.9586,22.0624,1,2962.7519,0
rsfmri_cor_ngd_cerc_scs_cdelh,3.9429,1,2890.2085,0.0472,0.4793,0.0258,2.5118,0.0103,0.0121,4.7985,1,2874.0248,0.0286,9.1867,1,2958.7733,0.0025
rsfmri_cor_ngd_cerc_scs_cderh,0.2935,1,2917.1353,0.588,0.9213,-0.0163,-2.4611,0.0066,0.0139,0.0003,1,2794.8192,0.9859,1.9421,1,2832.9469,0.1636
rsfmri_cor_ngd_cerc_scs_hplh,0.0344,1,2898.3932,0.8529,0.9626,0.0301,3.527,0.0085,0.0004,1.618,1,2827.1993,0.2035,8.5674,1,2937.9885,0.0034
rsfmri_cor_ngd_cerc_scs_hprh,0.6291,1,2886.7573,0.4278,0.8354,0.0244,2.4947,0.0098,0.0127,1.8384,1,2866.9722,0.1753,35.7908,1,2956.8169,0
rsfmri_cor_ngd_cerc_scs_ptlh,4.3995,1,2892.0324,0.036,0.4793,0.0067,0.5401,0.0124,0.5892,0.0041,1,2873.9361,0.9492,43.4759,1,2955.2735,0
rsfmri_cor_ngd_cerc_scs_ptrh,1.2864,1,2895.6327,0.2568,0.6524,0.0115,3.1321,0.0037,0.0018,0.0001,1,2833.6468,0.9916,10.9407,1,2941.2833,0.001
rsfmri_cor_ngd_cerc_scs_thplh,0.1834,1,2898.0687,0.6685,0.9626,0.0185,1.8408,0.0101,0.0657,0.1925,1,2839.4506,0.6609,7.3394,1,2944.1572,0.0068
rsfmri_cor_ngd_cerc_scs_thprh,0.1521,1,2869.0812,0.6965,0.9626,0.0143,2.2172,0.0065,0.0267,0.0418,1,2801.8191,0.8381,2.3273,1,2114.0253,0.1273
rsfmri_cor_ngd_df_scs_aalh,2.2421,1,2891.3699,0.1344,0.5743,-0.0112,-1.2885,0.0087,0.1977,1.7983,1,2839.1385,0.18,10.9357,1,2941.2182,0.001
rsfmri_cor_ngd_df_scs_aarh,1.2315,1,2889.1921,0.2672,0.6552,-0.0272,-2.4265,0.0112,0.0153,1.6181,1,2865.043,0.2035,5.9336,1,2957.2454,0.0149
rsfmri_cor_ngd_df_scs_aglh,0.0001,1,2912.9991,0.991,0.991,0.0199,2.6381,0.0075,0.0084,11.2326,1,2825.2363,0.0008,1.2413,1,2813.9974,0.2653
rsfmri_cor_ngd_df_scs_agrh,1.2079,1,2914.1683,0.2718,0.6552,0.0024,0.3083,0.0078,0.7579,18.6359,1,2821.5605,0,2.0236,1,2770.0902,0.155
rsfmri_cor_ngd_df_scs_cdelh,3.3753,1,2912.6559,0.0663,0.4793,0.062,6.8681,0.009,0,27.2433,1,2799.7746,0,1.3258,1,2892.487,0.2496
rsfmri_cor_ngd_df_scs_cderh,0.1632,1,2914.6755,0.6863,0.9626,-0.0069,-1.1452,0.006,0.2522,8.1647,1,2779.331,0.0043,0.8555,1,2885.3863,0.3551
rsfmri_cor_ngd_df_scs_hplh,2.6119,1,2898.9997,0.1062,0.5743,0.0284,4.4067,0.0064,0,4.0434,1,2852.6123,0.0444,8.9392,1,2941.5863,0.0028
rsfmri_cor_ngd_df_scs_hprh,0.0104,1,2917.5845,0.9187,0.991,0.0045,0.4696,0.0095,0.6387,5.0863,1,2780.6779,0.0242,11.103,1,2854.1208,0.0009
rsfmri_cor_ngd_df_scs_ptlh,2.5702,1,2905.7732,0.109,0.5743,0.0118,1.5399,0.0076,0.1237,16.0774,1,2812.0431,0.0001,4.566,1,2924.1424,0.0327
rsfmri_cor_ngd_df_scs_ptrh,0.1172,1,2906.9951,0.7321,0.9626,-0.0045,-0.7643,0.0059,0.4448,0.7827,1,2798.8097,0.3764,2.9108,1,2917.3583,0.0881
