bpm_column_name,column_name,bpm Score_estimate,bpm Score_t_value,bpm Score_std_error,bpm Score_p_value,bpm Score_p_adjusted,Sex_f_value,Sex_df,Sex_residual_df,Sex_p_value,FD Motion_estimate,FD Motion_t_value,FD Motion_std_error,FD Motion_p_value
bpm_y_scr_internal_t,rsfmri_c_ngd_vta_ngd_vta,-0.000504591,-1.214712925,0.0004154,0.224788181,0.308098157,1.25870805,1,918.4399503,0.262189006,-0.027059814,-2.113437775,0.012803695,0.034830849
bpm_y_scr_external_t,rsfmri_c_ngd_vta_ngd_vta,-0.0007998,-1.488730064,0.000537237,0.136901481,0.273802961,1.488179494,1,918.5123712,0.222812265,-0.026186234,-2.045709157,0.012800566,0.041067694
bpm_y_scr_internal_t,rsfmri_cor_ngd_cerc_scs_aglh,-0.00133362,-1.824662628,0.000730886,0.068377193,0.170942983,0.376280559,1,917.0395749,0.539752683,0.013343653,0.591643664,0.022553529,0.554234023
bpm_y_scr_external_t,rsfmri_cor_ngd_cerc_scs_aglh,-0.002116999,-2.240533289,0.000944864,0.025294705,0.084315683,0.219442415,1,917.0598553,0.639576421,0.015685838,0.69607613,0.022534659,0.486556329
bpm_y_scr_internal_t,rsfmri_cor_ngd_cerc_scs_cdelh,-0.000998224,-1.250914286,0.000797996,0.211284315,0.308098157,3.665272696,1,918.5269576,0.055867972,0.032554353,1.323650958,0.024594364,0.185946394
bpm_y_scr_external_t,rsfmri_cor_ngd_cerc_scs_cdelh,-0.002917406,-2.835633534,0.001028837,0.004673777,0.046737769,4.2323842,1,918.5727071,0.039941531,0.035199792,1.435983513,0.024512671,0.151345483
bpm_y_scr_internal_t,rsfmri_cor_ngd_df_scs_ptlh,-0.000693188,-1.159682627,0.00059774,0.246478526,0.308098157,6.73892398,1,920.6465813,0.009583413,-0.000586923,-0.031932747,0.018379977,0.974532606
bpm_y_scr_external_t,rsfmri_cor_ngd_df_scs_ptlh,-0.001773081,-2.29823391,0.000771497,0.021771429,0.084315683,7.391967461,1,920.6658484,0.006674809,0.001135557,0.061896179,0.018346155,0.950658938
bpm_y_scr_internal_t,rsfmri_cor_ngd_sa_scs_ptlh,8.77E-05,0.186430531,0.000470238,0.852148223,0.852148223,1.447699901,1,920.478685,0.229206748,0.017942506,1.240617645,0.014462559,0.215063092
bpm_y_scr_external_t,rsfmri_cor_ngd_sa_scs_ptlh,-0.000201656,-0.331547684,0.000608226,0.740306175,0.822562417,1.448903711,1,920.5465823,0.229013381,0.018038085,1.246973271,0.014465495,0.212724258
