bpm_column_name,column_name,bpm Score_estimate,bpm Score_t_value,bpm Score_std_error,bpm Score_p_value,bpm Score_p_adjusted,Sex_f_value,Sex_df,Sex_residual_df,Sex_p_value,FD Motion_estimate,FD Motion_t_value,FD Motion_std_error,FD Motion_p_value
bpm_y_scr_internal_t,rsfmri_c_ngd_vta_ngd_vta,3.25E-05,0.020628929,0.001575587,0.983639363,0.983639363,0.383321988,1,40.47645366,0.539300034,0.120728081,1.294174505,0.093285782,0.204715559
bpm_y_scr_external_t,rsfmri_c_ngd_vta_ngd_vta,-0.002029347,-1.01997213,0.00198961,0.313733903,0.983639363,0.79225158,1,40.14576964,0.378723282,0.117828985,1.312450173,0.089777873,0.197952216
bpm_y_scr_internal_t,rsfmri_cor_ngd_cerc_scs_aglh,-0.000665,-0.347338522,0.001914559,0.730071594,0.983639363,1.617138744,1,40.73304499,0.210704314,-0.076328795,-0.679204632,0.112379674,0.500734328
bpm_y_scr_external_t,rsfmri_cor_ngd_cerc_scs_aglh,0.001175566,0.479974548,0.002449225,0.633735814,0.983639363,1.323030381,1,40.43417701,0.256806447,-0.066499195,-0.606622422,0.109622053,0.547366772
bpm_y_scr_internal_t,rsfmri_cor_ngd_cerc_scs_cdelh,-0.000697065,-0.320435286,0.002175368,0.750227241,0.983639363,0.822338462,1,40.73304499,0.369830881,-0.179088583,-1.40254306,0.127688474,0.168101942
bpm_y_scr_external_t,rsfmri_cor_ngd_cerc_scs_cdelh,-0.00189199,-0.681901894,0.002774578,0.499044374,0.983639363,0.397587104,1,40.43417701,0.531885883,-0.172498208,-1.389051691,0.124184154,0.172138675
bpm_y_scr_internal_t,rsfmri_cor_ngd_df_scs_ptlh,0.000378286,0.234138837,0.001615647,0.816014808,0.983639363,0.861968399,1,40.73304499,0.3586577,-0.084050549,-0.886288777,0.09483427,0.380508689
bpm_y_scr_external_t,rsfmri_cor_ngd_df_scs_ptlh,0.000316989,0.153112348,0.0020703,0.879042943,0.983639363,0.960711581,1,40.43417701,0.332836165,-0.088470597,-0.954764892,0.092662181,0.345159852
bpm_y_scr_internal_t,rsfmri_cor_ngd_sa_scs_ptlh,0.000120251,0.096919107,0.001240738,0.923315516,0.983639363,0.176792185,1,36.53462668,0.676607521,0.153215909,1.810604896,0.084621393,0.083202915
bpm_y_scr_external_t,rsfmri_cor_ngd_sa_scs_ptlh,0.001595438,1.048690703,0.001521362,0.302568903,0.983639363,0.009486438,1,35.68852467,0.922955007,0.159753508,1.969591381,0.081109975,0.062042024
