cbcl_column_name,column_name,CBCL Score_estimate,CBCL Score_t_value,CBCL Score_std_error,CBCL Score_p_value,CBCL Score_p_adjusted,FD Motion_estimate,FD Motion_t_value,FD Motion_std_error,FD Motion_p_value,Sex_f_value,Sex_df,Sex_residual_df,Sex_p_value,Timepoint_f_value,Timepoint_df,Timepoint_residual_df,Timepoint_p_value
cbcl_scr_dsm5_anxdisord_t,rsfmri_c_ngd_vta_ngd_vta,0.000355448,0.715299313,0.000496922,0.477164932,0.982954347,0.003256306,0.126421443,0.025757543,0.899567162,0.302782449,1,53.7200349,0.584424184,0.003276961,1,53.56238891,0.954563256
cbcl_scr_syn_anxdep_t,rsfmri_c_ngd_vta_ngd_vta,7.37412E-05,0.130976224,0.000563012,0.895974863,0.982954347,0.00341607,0.132332535,0.025814289,0.894897621,0.418104384,1,67.25988056,0.520084912,0.001522607,1,59.0009996,0.969005701
cbcl_scr_syn_external_t,rsfmri_c_ngd_vta_ngd_vta,-0.000243052,-0.51364487,0.000473191,0.608277861,0.982954347,0.005196349,0.199416103,0.02605782,0.84220726,0.49481348,1,66.91603973,0.484228362,0.023567312,1,72.86329601,0.878415368
cbcl_scr_syn_internal_t,rsfmri_c_ngd_vta_ngd_vta,0.000330776,0.549156807,0.000602335,0.583911931,0.982954347,0.004052572,0.156924187,0.025825032,0.875514537,0.35906309,1,59.05036488,0.551319185,8.36031E-05,1,47.77194529,0.992742743
cbcl_scr_dsm5_anxdisord_t,rsfmri_cor_ngd_cerc_scs_aglh,0.000265192,0.310133472,0.000855089,0.756898023,0.982954347,-0.060692101,-1.435779635,0.042271181,0.153166884,1.376760938,1,147.8810878,0.242540042,3.11784221,1,141.9846892,0.079588689
cbcl_scr_syn_anxdep_t,rsfmri_cor_ngd_cerc_scs_aglh,0.000386291,0.426537385,0.000905643,0.670353253,0.982954347,-0.060440404,-1.431239799,0.042229404,0.154460399,1.417339338,1,147.9896847,0.235748,2.972025152,1,142.5707935,0.086883336
cbcl_scr_syn_external_t,rsfmri_cor_ngd_cerc_scs_aglh,-0.000490849,-0.644431056,0.000761678,0.520335364,0.982954347,-0.055557512,-1.299356363,0.042757717,0.195829981,1.629232856,1,148.628728,0.203800033,3.474766152,1,141.4009585,0.064385016
cbcl_scr_syn_internal_t,rsfmri_cor_ngd_cerc_scs_aglh,1.66694E-05,0.016850266,0.000989266,0.986579316,0.986579316,-0.060089742,-1.42105433,0.042285324,0.157396152,1.408031268,1,147.9877537,0.237284926,3.203089043,1,142.7408486,0.075619441
cbcl_scr_dsm5_anxdisord_t,rsfmri_cor_ngd_cerc_scs_cdelh,0.000116002,0.143000139,0.000811204,0.886483855,0.982954347,-0.090613771,-2.269549607,0.039925883,0.024654297,0.866670087,1,150.1590859,0.353373128,0.275583181,1,146.1270823,0.600406432
cbcl_scr_syn_anxdep_t,rsfmri_cor_ngd_cerc_scs_cdelh,-7.16721E-05,-0.083200998,0.000861434,0.933806629,0.982954347,-0.090351979,-2.26493127,0.039891709,0.024943066,0.880434176,1,150.1706215,0.349589485,0.243507706,1,146.3450063,0.62242379
