cbcl_column_name,column_name,CBCL Score*Diagnosis Group Interaction_f_value,CBCL Score*Diagnosis Group Interaction_df,CBCL Score*Diagnosis Group Interaction_residual_df,CBCL Score*Diagnosis Group Interaction_p_value,CBCL Score*Diagnosis Group Interaction_p_adjusted,CBCL Score_estimate,CBCL Score_t_value,CBCL Score_std_error,CBCL Score_p_value,CBCL Score_p_adjusted,Diagnosis Group_f_value,Diagnosis Group_df,Diagnosis Group_residual_df,Diagnosis Group_p_value,FD Motion_estimate,FD Motion_t_value,FD Motion_std_error,FD Motion_p_value,Sex_f_value,Sex_df,Sex_residual_df,Sex_p_value,Timepoint_f_value,Timepoint_df,Timepoint_residual_df,Timepoint_p_value
cbcl_scr_dsm5_anxdisord_t,rsfmri_c_ngd_vta_ngd_vta,2.067666871,1,3124.048089,0.150551689,0.953756459,-0.000583284,-1.37831259,0.000423187,0.168205241,0.841026207,0.834008882,1,3120.034685,0.361186437,-0.012733167,-2.561334103,0.004971303,0.01047359,0.621665012,1,3002.745034,0.43049147,6.832676804,1,3037.368315,0.008994695
cbcl_scr_syn_anxdep_t,rsfmri_c_ngd_vta_ngd_vta,1.844762708,1,3118.015584,0.174492018,0.953756459,-0.000794964,-1.963956601,0.000404777,0.049623492,0.496234923,0.528082279,1,3110.97481,0.467468901,-0.012629667,-2.542387568,0.00496764,0.011057613,0.594784601,1,3002.915109,0.440635563,7.088102423,1,3036.19511,0.007800663
cbcl_scr_syn_external_t,rsfmri_c_ngd_vta_ngd_vta,0.009913369,1,3103.86432,0.920695396,0.953756459,-0.000124872,-0.828350809,0.000150747,0.407535212,0.905598883,0.399625703,1,3100.081364,0.52732924,-0.012183469,-2.445902351,0.004981176,0.014503761,0.521687029,1,3007.845245,0.470179079,6.896930868,1,3036.891806,0.008677741
cbcl_scr_syn_internal_t,rsfmri_c_ngd_vta_ngd_vta,0.461036686,1,3104.070363,0.497190497,0.953756459,-9.84548E-05,-0.727438357,0.000135345,0.467012181,0.905598883,0.038831274,1,3105.282237,0.8437962,-0.012525481,-2.519868111,0.004970689,0.01178929,0.557257274,1,3003.973761,0.455425861,6.789618605,1,3038.713103,0.009213693
cbcl_scr_dsm5_anxdisord_t,rsfmri_cor_ngd_cerc_scs_aglh,1.456785498,1,3122.657681,0.227533696,0.953756459,-0.001093449,-1.458776694,0.000749566,0.144726997,0.841026207,0.378485082,1,3118.296764,0.538460005,0.02441444,2.774112562,0.008800811,0.005568259,1.528067844,1,3033.395778,0.216498369,24.45601154,1,3099.760437,8.00722E-07
cbcl_scr_syn_anxdep_t,rsfmri_cor_ngd_cerc_scs_aglh,0.245656803,1,3115.701095,0.620184953,0.953756459,-0.00016634,-0.23192887,0.000717203,0.816608446,0.905598883,0.006856177,1,3107.092014,0.934014285,0.024856511,2.824856678,0.008799211,0.004760294,1.298808855,1,3033.322034,0.254520899,24.03091686,1,3100.020421,9.96749E-07
cbcl_scr_syn_external_t,rsfmri_cor_ngd_cerc_scs_aglh,0.257914481,1,3093.184765,0.611592779,0.953756459,-0.000825071,-3.090106425,0.000267004,0.002018442,0.040368843,0.231226407,1,3085.861736,0.630650044,0.026740868,3.036925617,0.008805243,0.002409862,1.539694695,1,3037.589026,0.214759078,25.4117924,1,3098.349705,4.89675E-07
cbcl_scr_syn_internal_t,rsfmri_cor_ngd_cerc_scs_aglh,0.055919421,1,3102.942884,0.81308136,0.953756459,-1.65735E-05,-0.069032875,0.000240081,0.944967873,0.944967873,0.04583759,1,3103.271464,0.830485364,0.024896228,2.828838561,0.008800866,0.004701625,1.282913375,1,3032.752259,0.257447584,24.05636728,1,3100.01451,9.83762E-07
cbcl_scr_dsm5_anxdisord_t,rsfmri_cor_ngd_cerc_scs_cdelh,0.209065724,1,3126.999835,0.647532431,0.953756459,-0.000620518,-0.811652779,0.000764511,0.417052591,0.905598883,1.23235E-06,1,3121.998271,0.999114328,0.027681897,3.087052033,0.008967098,0.002039326,4.629058733,1,3043.933723,0.03151325,4.046833965,1,3011.74957,0.044343179
cbcl_scr_syn_anxdep_t,rsfmri_cor_ngd_cerc_scs_cdelh,0.288101122,1,3118.426058,0.591478243,0.953756459,0.000365242,0.499443611,0.000731297,0.617502022,0.905598883,0.687930332,1,3108.779128,0.406932925,0.028017563,3.126037763,0.008962644,0.001788134,5.011238855,1,3044.420837,0.025255275,3.902273213,1,3012.704985,0.048311952
cbcl_scr_syn_external_t,rsfmri_cor_ngd_cerc_scs_cdelh,0.115899087,1,3092.586429,0.733548662,0.953756459,-0.000328407,-1.204537197,0.000272642,0.228472989,0.905598883,1.023543937,1,3084.135355,0.311759213,0.028804625,3.20741438,0.008980637,0.001352926,4.66337406,1,3046.549703,0.030890387,4.209832206,1,3010.989498,0.040276622
cbcl_scr_syn_internal_t,rsfmri_cor_ngd_cerc_scs_cdelh,0.109066109,1,3104.824011,0.741232154,0.953756459,0.00021994,0.898060388,0.000244905,0.369222471,0.905598883,0.372950436,1,3104.896586,0.541445103,0.028107347,3.135853789,0.00896322,0.00172954,5.224055525,1,3044.087696,0.022344981,3.81233526,1,3012.162234,0.050968977
cbcl_scr_dsm5_anxdisord_t,rsfmri_cor_ngd_df_scs_ptlh,0.484115328,1,3130.68107,0.486615777,0.953756459,-0.000202436,-0.349806563,0.000578708,0.726507352,0.905598883,0.149726185,1,3126.279116,0.6988235,0.009835645,1.449073987,0.006787538,0.147417615,15.09013454,1,3009.135963,0.000104704,1.015349786,1,2712.933804,0.313714461
cbcl_scr_syn_anxdep_t,rsfmri_cor_ngd_df_scs_ptlh,0.029480039,1,3123.27677,0.863686457,0.953756459,0.000403422,0.728586186,0.000553706,0.466309226,0.905598883,0.132533179,1,3115.244405,0.715844582,0.010033947,1.47908855,0.006783872,0.139217809,15.54852117,1,3009.623201,8.22473E-05,0.952467676,1,2715.969655,0.329178882
cbcl_scr_syn_external_t,rsfmri_cor_ngd_df_scs_ptlh,0.051481027,1,3107.502939,0.820520852,0.953756459,-0.000101107,-0.490708053,0.000206043,0.62366738,0.905598883,0.624680107,1,3103.443173,0.429373816,0.010219058,1.503081255,0.00679874,0.132919621,15.09693954,1,3012.460024,0.000104327,1.080867881,1,2708.525973,0.298596282
cbcl_scr_syn_internal_t,rsfmri_cor_ngd_df_scs_ptlh,0.448914363,1,3107.329323,0.502900744,0.953756459,7.31074E-05,0.394985357,0.000185089,0.692880662,0.905598883,0.142585055,1,3108.574359,0.705750301,0.010063337,1.483180489,0.006784972,0.138127661,15.51546097,1,3009.355707,8.36909E-05,0.950678902,1,2716.808978,0.329633354
cbcl_scr_dsm5_anxdisord_t,rsfmri_cor_ngd_sa_scs_ptlh,0.0033634,1,3123.187809,0.953756459,0.953756459,-0.000129045,-0.270047498,0.000477861,0.7871415,0.905598883,0.175074301,1,3121.059825,0.675669725,0.01901368,3.385246988,0.00561663,0.000719883,11.7555057,1,2925.348728,0.000615024,20.38898245,1,2986.974125,6.56386E-06
cbcl_scr_syn_anxdep_t,rsfmri_cor_ngd_sa_scs_ptlh,0.115734052,1,3120.660334,0.733731015,0.953756459,0.000115182,0.251868203,0.00045731,0.801159464,0.905598883,0.554016226,1,3116.946162,0.456737403,0.019081458,3.398950976,0.005613926,0.000684889,11.59655224,1,2926.370418,0.000669647,20.26421265,1,2986.5126,7.00308E-06
cbcl_scr_syn_external_t,rsfmri_cor_ngd_sa_scs_ptlh,1.584639584,1,3118.19146,0.208187896,0.953756459,-2.984E-05,-0.175982821,0.000169562,0.860318939,0.905598883,3.904866496,1,3118.115511,0.048234465,0.01930503,3.431862162,0.005625235,0.000607206,11.99386275,1,2931.015663,0.000541409,20.66397685,1,2986.03544,5.69116E-06
cbcl_scr_syn_internal_t,rsfmri_cor_ngd_sa_scs_ptlh,0.706567254,1,3106.891568,0.400650445,0.953756459,6.98514E-05,0.458881196,0.000152221,0.646351775,0.905598883,1.574270047,1,3109.670806,0.209682273,0.019073992,3.397384174,0.005614317,0.000688808,11.38082395,1,2926.32997,0.000751718,20.30831638,1,2988.77463,6.84437E-06
