Variable,GAD Remitter_baseline_year_1_arm_1,GAD Remitter_2_year_follow_up_y_arm_1,GAD Converter_baseline_year_1_arm_1,GAD Converter_2_year_follow_up_y_arm_1,Continuous GAD_baseline_year_1_arm_1,Continuous GAD_2_year_follow_up_y_arm_1,Control_baseline_year_1_arm_1,Control_2_year_follow_up_y_arm_1,Whole_Sample_baseline_year_1_arm_1,Whole_Sample_2_year_follow_up_y_arm_1
group_n,104,104,110,110,24,24,3910,3910,4148,4148
n_female,48,48,58,58,10,10,1860,1860,1976,1976
percent_female,46.15384615,46.15384615,52.72727273,52.72727273,41.66666667,41.66666667,47.57033248,47.57033248,47.63741562,47.63741562
mean_age,9.442307692,11.53846154,9.545454545,11.58181818,9.333333333,11.58333333,9.470076726,11.49207161,9.470588235,11.49614272
sd_age,0.501506028,0.670426802,0.538109923,0.533711987,0.651338947,0.514928651,0.544348224,0.661341922,0.54365874,0.657609414
mean_fd,0.244415779,0.197049903,0.304859674,0.159253574,0.241243123,0.168595862,0.272021978,0.180217726,0.272022558,0.180016561
sd_fd,0.224245972,0.168400252,0.35920892,0.176456811,0.229113855,0.163461184,0.290538332,0.178119179,0.290683505,0.177694288
n_white,68,68,78,78,20,20,2062,2062,2228,2228
percent_white,65.38461538,65.38461538,70.90909091,70.90909091,83.33333333,83.33333333,52.73657289,52.73657289,53.71263259,53.71263259
n_black,8,8,6,6,0,0,496,496,510,510
percent_black,7.692307692,7.692307692,5.454545455,5.454545455,0,0,12.68542199,12.68542199,12.29508197,12.29508197
n_hispanic,18,18,16,16,2,2,894,894,930,930
percent_hispanic,17.30769231,17.30769231,14.54545455,14.54545455,8.333333333,8.333333333,22.86445013,22.86445013,22.42044359,22.42044359
n_asian,2,2,2,2,0,0,92,92,96,96
percent_asian,1.923076923,1.923076923,1.818181818,1.818181818,0,0,2.352941176,2.352941176,2.31436837,2.31436837
n_other,8,8,8,8,2,2,366,366,384,384
percent_other,7.692307692,7.692307692,7.272727273,7.272727273,8.333333333,8.333333333,9.360613811,9.360613811,9.257473481,9.257473481
n_ge_scanner,27,27,16,16,4,4,868,868,915,915
percent_ge_scanner,25.96153846,25.96153846,14.54545455,14.54545455,16.66666667,16.66666667,22.19948849,22.19948849,22.05882353,22.05882353
n_phillips_scanner,6,6,8,8,0,0,545,545,559,559
percent_phillips_scanner,5.769230769,5.769230769,7.272727273,7.272727273,0,0,13.93861893,13.93861893,13.47637416,13.47637416
n_siemens_scanner,71,71,86,86,20,20,2497,2497,2674,2674
percent_siemens_scanner,68.26923077,68.26923077,78.18181818,78.18181818,83.33333333,83.33333333,63.86189258,63.86189258,64.46480231,64.46480231
mean_internalizing_cbcl,68.67307692,60.9047619,61.43636364,66.07843137,69.83333333,71.25,42.67058824,42.25744308,43.97733848,43.48676957
sd_internalizing_cbcl,7.169437186,10.22385905,9.593137278,6.489508879,7.517655985,8.031189202,8.098480935,8.063252703,9.72873601,9.559439921
mean_externalizing_cbcl,57.30769231,53.71428571,53.56363636,54.23529412,56.75,59.875,40.44194373,39.84296556,41.30713597,40.65711136
sd_externalizing_cbcl,11.26079171,11.27761805,9.861567069,9.803240761,13.08798894,13.621805,7.412200536,6.93396581,8.416823091,7.93953721
mean_anxdep_cbcl,71.07692308,62.64285714,62.96363636,67.35294118,72,76.875,51.0173913,50.93461763,51.95853423,51.78169791
sd_anxdep_cbcl,9.218153773,9.003580395,9.311410038,6.919027473,9.155227022,9.847951201,2.783689949,2.668687107,5.257408525,4.823157984
mean_dsm5_anx_cbcl,72.42307692,64.61904762,64.30909091,69.31372549,72.25,76.625,51.04910486,51.06596614,52.05930569,52.00551268
sd_dsm5_anx_cbcl,9.543185956,11.08713247,11.24289525,8.208508259,10.55827982,10.50085031,2.674922964,2.603864156,5.52945476,5.204581591
