variable,GAD Remitter_baseline_year_1_arm_1,GAD Remitter_2_year_follow_up_y_arm_1,GAD Converter_baseline_year_1_arm_1,GAD Converter_2_year_follow_up_y_arm_1,Continuous GAD_baseline_year_1_arm_1,Continuous GAD_2_year_follow_up_y_arm_1,Control_baseline_year_1_arm_1,Control_2_year_follow_up_y_arm_1,whole_sample_2_year_follow_up_y_arm_1,whole_sample_baseline_year_1_arm_1
group_n,52,52,55,55,12,12,1955,1955,2074,2074
n_outpatient_tx,24,22,13,25,5,4,45,29,80,87
percent_outpatient_tx,46.15384615,42.30769231,23.63636364,45.45454545,41.66666667,33.33333333,2.301790281,1.483375959,3.857280617,4.194792671
n_partial_hospitalization_tx,0,1,0,0,0,0,0,0,1,0
percent_partial_hospitalization_tx,0,1.923076923,0,0,0,0,0,0,0.048216008,0
n_inpatient_tx,1,1,1,1,0,0,0,0,2,2
percent_inpatient_tx,1.923076923,1.923076923,1.818181818,1.818181818,0,0,0,0,0.096432015,0.096432015
n_psychotherapy_tx,14,10,13,14,3,5,22,18,47,52
percent_psychotherapy_tx,26.92307692,19.23076923,23.63636364,25.45454545,25,41.66666667,1.125319693,0.920716113,2.266152363,2.507232401
n_medication_management_tx,15,16,8,11,2,5,14,11,43,39
percent_medication_management_tx,28.84615385,30.76923077,14.54545455,20,16.66666667,41.66666667,0.716112532,0.562659847,2.073288332,1.880424301
n_any_mental_health_tx,35,26,25,32,9,8,75,52,118,144
percent_any_mental_health_tx,67.30769231,50,45.45454545,58.18181818,75,66.66666667,3.836317136,2.659846547,5.68948891,6.943105111
n_antidepressants_med,6,10,2,7,1,2,5,4,23,14
percent_antidepressants_med,11.53846154,19.23076923,3.636363636,12.72727273,8.333333333,16.66666667,0.255754476,0.204603581,1.108968177,0.675024108
n_anxiolytics_med,0,0,0,1,0,0,1,1,2,1
percent_anxiolytics_med,0,0,0,1.818181818,0,0,0.051150895,0.051150895,0.096432015,0.048216008
n_antidep_or_anxio_med,6,10,2,8,1,2,6,5,25,15
percent_antidep_or_anxio_med,11.53846154,19.23076923,3.636363636,14.54545455,8.333333333,16.66666667,0.306905371,0.255754476,1.205400193,0.723240116
n_receiving_any_tx,35,29,25,32,9,8,77,54,123,146
percent_receiving_any_tx,67.30769231,55.76923077,45.45454545,58.18181818,75,66.66666667,3.938618926,2.762148338,5.930568949,7.039537126
n_no_tx_history,11,11,11,11,0,0,1809,1809,1831,1831
percent_no_tx_history,21.15384615,21.15384615,20,20,0,0,92.53196931,92.53196931,88.28351013,88.28351013
n_baseline_and_followup_tx,29,29,18,18,6,6,26,26,79,79
percent_baseline_and_followup_tx,55.76923077,55.76923077,32.72727273,32.72727273,50,50,1.329923274,1.329923274,3.809064609,3.809064609
n_tx_before_baseline,6,6,7,7,3,3,51,51,67,67
percent_tx_before_baseline,11.53846154,11.53846154,12.72727273,12.72727273,25,25,2.608695652,2.608695652,3.230472517,3.230472517
n_tx_after_baseline,6,6,19,19,3,3,67,67,95,95
percent_tx_after_baseline,11.53846154,11.53846154,34.54545455,34.54545455,25,25,3.427109974,3.427109974,4.580520733,4.580520733
n_insufficient_data,0,0,0,0,0,0,2,2,2,2
percent_insufficient_data,0,0,0,0,0,0,0.10230179,0.10230179,0.096432015,0.096432015
